eng,hindi
Parents are responsible for the safety of their children.,मातापिता अपने बच्चों की हिफ़ाज़त के लिए ज़िम्मेदार होते हैं।
She is not afraid of anything.,उसे किसी भी चीज़ का डर नहीं है।
Soldiers are used to danger.,सिपाहियों को खतरे से खेलने की आदत होती है।
He saw a dog near the door.,उसने दरवाज़े के पास एक कुत्ता देखा।
I've got a bit of an ache in my back.,मेरी पीठ में थोड़ा दर्द हो रहा है।
What do you want to do in the afternoon?,तुम्हें दोपहर में क्या करने का मन है?
It was proved that he was a thief.,यह साबित कर दिया गया कि वह चोर था।
"I've never met him, but I recognize him.",मैं उसे पहचानता हूँ पर मैं उससे कभी मिला नहीं हूँ।
It has been fine since last Friday.,पिछले शुक्रवार से मौसम बहुत अच्छा है।
You're a life saver.,तुमने मेरी जान बचाली।
Tom may invite us.,टॉम हमें आमंत्रित कर सकता है।
The skies are clear.,आसमान साफ़ है।
"When he arrives in Tokyo, I'll call you right away.",उसके टोक्यो आते ही मैं तुम्हें तुरंत फ़ोन करूँगी।
Where's the changing room?,कपड़े बदलने का कमरा कहाँ पर है?
He gave his children a good education.,उसने अपने बच्चों को अच्छी शिक्षा दी।
I'll see you later.,फिर मिलेंगे।
Columbus argued that he could reach India by going west.,कोलम्बस ने सोचा कि वह पश्चिम दिशा में जाकर भारत पहुँच सकता था।
You might as well read a novel instead of staring at the ceiling.,छत पर घूरने के बजाए उपन्यास ही पढ़लो।
When do you play tennis?,तुम टेनिस कब खेलना चाहते हो?
Definitely!,निश्चित ही
Mother bought me the book.,मम्मी ने मेरे लिए वह किताब खरीदी।
Let me handle this.,यह मुझे संभालने दो।
The history class starts at nine.,इतिहास की क्लास नौ बजे शुरू होती है।
Glass is made from sand.,ग्लास रेत से बनाया जाता है।
She reproached me for being lazy.,उसने मुझपर आलसी होने के लिए गुस्सा किया।
He looks very tired.,वह बहुत थका-हारा सा लगता है।
I've lost my glasses.,मेरा चश्मा खो गया है।
Don't touch it.,उसे छूना मत।
Let's go and see as many things as we can.,"चलो चलें, जितनी सारी चीज़ें देख सकते हैं देख आएँ।"
I'll call you back later.,मैं आपको थोड़ी देर बाद फ़ोन करूँगा।
I know that Tom is an electrical engineer.,मुझे पता है कि टॉम एक इलेक्ट्रिकल इंजीनियर है।
I doubt his ability to do the job.,मुझे उसके काम करने की योग्यता पर भरोसा नहीं है।
We managed to swim across the river.,हम नदी को तैरकर पार कर पाए।
His new book is going to come out next month.,उसकी नई किताब अगले महीने छपेगी।
He climbed the stairs.,वह सीड़ियों पर चढ़ गया।
Do you believe me?,क्या तुम मेरा यकीन करते हो?
That's a completely unfounded rumor.,वह अफ़वाह पूरी तरह से बेबुनयाद है।
I wish I had this problem.,काश ये समस्या मुझे हुई होती।
Well done!,शाबाश!
This is the very book that I wanted to read.,यह वही किताब है जिसे मैं पढ़ना चाह्ता था।
What the newspapers say is true.,जो अखबार में लिखा है वह सच है।
Boys will be boys.,लड़के तो लड़के ही रहेंगे।
We have two unused rooms in our house.,हमारे पास घर में दो कमरे हैं जिनका हम इस्तेमाल नहीं कर रहे हैं।
He was arrested because he stole the money.,उसे पैसे चुराने के लिए गिरफ़्तार कर लिया गया।
Will you go to the party tonight?,तुम आज रात पार्टी में जाओगे क्या?
What do you want to see?,तुम क्या देखना चाहते हो?
Physics is my favorite subject.,भौतिक विज्ञान मेरा सबसे पसंदीता विषय है।
He is very fond of music.,वह संगीत का बहुत शौकीन है।
I have to learn many words and phrases by heart.,मुझे बहुत सारे शब्दों और वाक्यांशों को रटना है।
The government started a program to promote industry.,सरकार ने उद्योग बढ़ाने के लिए कार्यक्रम शुरू किया।
This elevator does not go above the sixth floor.,यह लिफ़्ट छटी मंज़िल तक ही जाती है।
I was in bed all day long yesterday.,कल मैं पूरे दिन बिस्तर में था।
It is free of charge.,यह मुफ़्त का है।
He asked me if I could do him a favor.,उसने मुझसे एक एहसान माँगा।
This car has been used for the past ten years.,इस गाड़ी का पिछले दस साल से इस्तेमाल हो रहा है।
I have a lot of work to get through today.,मेरे पास आज बहुत काम है।
I will find out how the medicine works.,मैं पता लगाऊँगा कि यह दिवाई कैसे काम करती है।
My uncle is an amateur cricket player.,मेरे मामा क्रिकेट के शौकिया खिलाड़ी हैं।
She had a daughter by her first husband.,उसकी अपने पहले पति से एक लड़की थी।
The earth moves around the sun.,धरती सूरज की परिक्रमा करती है।
I am not from India.,मैं भारत से नहीं हूँ।
I had a letter from her yesterday.,मेरे पास कल उसकी एक चिट्ठी आई।
I'm going to tell you something.,मैं तुम्हें कुछ बताने वाला हूँ।
I'd rather not meet him.,हो सके तो मैं उससे मिलना नहीं चाहूँगा।
I didn't know what to say to him.,मुझे समझ में नहीं आ रहा था कि उससे क्या कहूँ।
Let me give you a piece of advice.,मैं तुम्हें एक बात की सलाह देता हूँ।
Where is the elevator?,लिफ़्ट कहाँ पर है?
You're not supposed to play baseball here.,यहाँ बेसबॉल खेलना मना है।
Do you want to go somewhere?,आपको कहीं जाना है?
She has invited me to attend her wedding.,उसने मुझे अपनी शादी में आने का का न्योता दिया है।
This is the house where I lived when I was a child.,यह वह घर है जिसमें मैं रहता था जब मैं छोटा था।
I'm standing in the shade.,मैं छाया में खड़ा हूँ।
They stood face to face.,वे आमने-सामने खड़े हुए।
He kept us waiting for a long time.,उसने हमसे बहुत देर तक इंतेज़ार करवाया।
Let me introduce my wife.,यह मेरी पत्नी है।
Have you ever seen a koala?,तुमने कभी क्वाला देखा है?
She has a gentle heart.,वह नर्म दिल वाली है।
She cried out the moment she saw her mother.,"उसने जैसे ही अपनी मम्मी को देखा, वह चिल्ला उठी।"
School begins in April.,स्कूल अप्रैल में शुरू होता है।
Can I extend my stay one more night?,मैं एक रात और रह सकता हूँ क्या?
That was my fault.,वह मेरी ग़लती थी।
English is the world's language.,अंग्रेज़ी वैश्विक भाषा है।
Don't leave the door open.,दरवाज़े को खुला मत छोड़ो।
Get out!,बाहर निकल जाओ!
I wanted Tom to study harder.,मैं चाहता था कि टॉम ज़्यादा पढ़ाई करे।
May I go ahead of you?,क्या मैं आपसे आगे चला जाऊं?
How do you feel today?,तुम्हें आज कैसा लग रहा है?
The box is made of wood.,डब्बा लकड़ी का बना है।
It was Tom that broke the window yesterday.,कल जिसने खिड़की तोड़ी थी वह टॉम था।
"I know her by sight, but I've never spoken to her.",मैं उसे पहचानता हूँ पर मैंने उससे कभी बात नहीं करी है।
"Although they are twins, they have few interests in common.","वे हालांकि जुड़वा हैं, उनके शोक एक-दूसरे से बहुत अलग हैं।"
Excuse me.,माफ़ कीजिए।
We don't know where we are.,हमें नहीं पता हम कहाँ हैं।
Do you need an ambulance?,आपको ऐमब्यूलेंस की ज़रूरत है क्या?
Do you have any brothers?,तुम्हारे कोई भाई हैं क्या?
We're against war.,हम जंग के ख़िलाफ़ हैं।
It seems interesting to me.,मुझे बहुत दिलचस्प लगती है!
You reap what you sow.,जैसा करना वैसा भरना।
He's my husband.,यह मेरा पति है।
I feel like taking a rest.,मुझे थोड़ा आराम करने का मन है।
Do you go there by bus or by car?,तुम वहाँ बस से जाते हो या गाड़ी से?
The thief is certain to be caught eventually.,चोर अंत में तो पकड़ा ही जाएगा।
He eats lunch at a cafeteria.,वह कैनटीन में लन्च खाता है।
What time does your watch say it is now?,तुम्हारी घड़ी अब क्या समय बता रही है?
Do you know this part of the city very well?,तुम शहर के इस हिस्से को अच्छी तरह से जानते हो क्या?
He broke one of the bones in his leg.,उसने अपने पैर की एक हड्डी तोड़ ली।
The job must be finished by 3 p.m.,यह काम दोपहर तीन बजे से पहले खतम हो जाना चाहिए।
I do what I'm told.,मैं वही करता हूं जो मुझे बताया जाता है।
I still don't know yet.,मुझे अभी भी नहीं पता।
She gave me a large room while I stayed at her house.,"जब मैं उसके घर पर रही, उसने मुझे रहने के लिए एक बड़ा सा कमरा दिया।"
Every house had a garden.,हर घर में बगीचा था।
Can I help you?,क्या मैं आपकी सहायता कर सकता हूँ?
I'm a good-for-nothing bum.,मैं निकम्मा हूँ।
He made many costly purchases.,उसने बहुत सी महंगी चीज़ें खरीदीं।
That's because you're a girl.,इसलिए क्योंकि तुम लड़की हो।
How many times a day does that bus run?,वह बस दिन में कितनी बार चलती है?
Tom couldn't help but cry.,टॉम खुद को रोने से रोक न सका।
Let me try it.,मुझे ट्राए करने दो।
I don't know what they know.,मुझे नहीं पता कि उन्हें क्या पता है।
I accompanied her on a walk.,मैं उसके साथ सैर के लिए गया।
He is a sharp-shooter.,उसका निशाना बहुत अच्छा है।
I need the following items.,मुझे इन सभी चीजों की जरूरत है।
Cut the potatoes.,आलूओं को काटो।
It's an answer to her letter.,यह उसकी चिट्ठी का जवाब है।
What time is it?,अभी कितने बजे हैं?
I'm hungry!,मुझे भूख लगी है।
"It's windy, isn't it?","यहाँ हवा चल रही है, है ना?"
How are you?,तुम कैसे हो?
That's a good question.,यह एक बहुत अच्छा सवाल है।
Don't lose your temper.,नाराज़ मत हो जाओ।
He was covered in mud from head to foot.,वह सर से पांव तक कीचड़ में लतपत था।
Do you like this color?,यह रंग पसंद है क्या?
I don't agree with you.,मैं तुमसे सहमत नहीं हूँ।
Today is my sister's birthday.,आज मेरी दीदी का जन्मदिन है।
Tom can't drive a bus.,टॉम बस नहीं चला सकता।
He speaks Arabic.,वह अरबी बोलता है।
My hens laid fewer eggs last year.,मेरी मुर्गियों ने पिछले साल के मुकाबले से कम अंडे दियें हैं।
Stars cannot be seen in the daytime.,सितारे दिन में नहीं दिखते |
The baby woke up in the middle of the night.,बच्चा की नींद आधी रात में खुल गई।
When did you get married?,तुम्हारी शादी कब हुई थी?
I believe you like your job.,मुझे लगता है कि तुम्हें तुम्हारा काम अच्छा लगता है।
Everyone likes him.,उसे सब पसंद करते हैं।
Do you believe in God?,क्या तुम भगवान में विश्वास करते हो?
Time goes by quickly.,समय तेज़ी से बीतता है।
How rude of you!,कितने बदतमीज़ हो तुम!
I watch television.,मैं टीवी देखता हूँ।
She didn't want to speak to anyone.,उसे किसी से भी बात करने का मन नहीं था।
I feel sad when I think about all the people who die in wars.,मुझे दुख होता है जब मैं उन लोगों की सोचता हों जो जंग में अपनी जान खो देते हैं।
He came to see me.,वह मुझसे मिलने आया था।
Can you play any musical instruments?,क्या आप कोई वाद्य यंत्र बजाते हैं?
I'm a doctor.,मैं डॉक्टर हूँ।
I'll see you later.,बाद में मिलेंगे।
You shouldn't be outside.,आपको बाहर नहीं होना चाहिए।
The bird on the roof is a crow.,छत पर जो चिड़िया बैठी है वह एक कौआ है।
I usually get home by six o'clock.,मैं आमतौर पर छः बजे तक घर आ जाता हूँ।
The clock has just struck three.,घड़ी पर अभी अभी तीन बजे हैं।
"Excuse me, is there a toilet nearby?","सुनिए, आस-पास में कोई टॉयलेट है क्या?"
Stamps aren't sold in this store.,यहां डाक टिकटें नहीं बेची जातीं हैं।
He could not sleep because of the heat.,वह गर्मी की वजह से सो नहीं पाया।
Tom is standing on the other side of the wall.,टॉम दीवार के दूसरी तरफ खड़ा है।
Do you have brothers and sisters?,तुम्हारे पास भाई-बहन हैं क्या?
Where are you going?,आप कहाँ जा रहे हैं?
"I'm sorry, but I can't hear you well.","माफ़ कीजिएगा, पर मैं आपको ठीक से सुन नहीं पा रही हूँ।"
The doctor advised him not to smoke.,डॉक्टर ने उन्हें सिगरेट न पीने की सलह दी।
A fox is a wild animal.,लोमड़ी जंगली जानवर होती है।
I was able to win the first prize.,मैंने प्रथम पुरस्कार जीत लिया।
I can't move.,मैं हिल नहीं सकता।
He was more than a king.,वह एक राजा से बहुत ज़्यादा था।
I'll give you an answer in a day or two.,मैं तुम्हें एक-दो दिन में जवाब दूँगा।
Such a thing occurs frequently.,ऐसा अक्सर होता है।
A gentleman would not spit on the street.,कोई भी सुशील इनसान सड़क पर थूकेगा नहीं।
I get up at six every day.,मैं रोज़ छः बजे उठता हूँ।
She tried in vain to please him.,उसने बेकार में उसको खुश करने की कोशिश की।
Cross off the names of the people who have paid their dues.,"जो पैसे भर चुकें हैं, उनके नाम काट दो।"
He asked me for some money.,उसने मुझसे थोड़े पैसे माँगे।
You must get rid of such a habit.,तुम्हें इस तरह की आदत तोड़ देनी चाहिए।
We drink our tea with sugar.,हम चाय चीनी के साथ लेते हैं।
Would you mind turning down the volume?,आवाज़ थोड़ी धीमी कर सकते हो क्या?
Is your father a teacher?,क्या तुम्हारे पिताजी टीचर हैं?
I found the glass empty.,मुझे गिलास खाली मिला।
I have a bone to pick with you.,मैं तुमसे खुश नहीं हूँ।
She lived a long life.,उसने लम्बी ज़िन्दगी जी।
It isn't raining much this year.,इस साल ज़्यादा बारिश नहीं हो रही है।
I know those women.,मैं उन औरतों को जानता हूँ।
Why are you talking to me?,मुझसे बात क्यों कर रहे हो?
Sometimes she tried talking to him about India.,वह कभी-कभी उससे भारत की बात करने की कोशिश किया करती थी।
He robbed me of my bag.,उसने मेरा बस्ता चुरा लिया।
She was brought up by her grandmother.,उसकी नानी ने उसे पाल-पोस कर बड़ा किया था।
My father is very nice.,मेरे पिता बहुत अच्छे हैं।
"Maybe I'm unhappy, but I don't intend to kill myself.","हाँ शायद मैं दुखी हूँ, पर मुझे अपनी जान लेने का इरादा नहीं है।"
She is a beauty.,वह तो हसीना है।
Tom has a strange way of talking.,टॉम का बात करने का तरीका अजीब है ।
Did the police arrest Tom?,पुलीस ने टॉम को गिरफ़्तार किया क्या?
The conference will end tomorrow.,सम्मेलन कल समाप्त होगा।
What was the weather like yesterday?,कल का मौसम कैसा था?
They are in favor of the reform of the tax laws.,वे टैक्स सुधार क़ानून के पक्ष में हैं।
I'll be there at five p.m.,मैं वहाँ शाम के पाँच बजे पहुँच जाऊँगा।
You should take care of your sick mother.,तुम्हें अपनी बीमार माँ का ख़याल रखना चाहिए।
I would like to meet his father.,मैं उसके पिता से मिलना चाह्ता हूँ।
I do not know for certain what she is going to do.,मुझे ठीक से नहीं पता वह क्या करने वाली है।
Make it quick.,जल्दी कीजिए।
He has a hat on.,उसने टोपी पहनी हुई है।
Come in.,अंदर आ जाओ।
The water is not drinkable.,यह पानी पिया नहीं जा सकता है।
I can't really talk about it.,मैं उस बारे में कुछ बोल नहीं सकता।
I fear so.,"खेद की बात है, लेकिन वैसा ही है।"
I like the blue one. How much does it cost?,"मुझे नीली वाली पसंद है, कितने की है?"
My family loved Tom.,मेरे परिवार को टॉम पसंद था।
Can you come to the party?,तुम पार्टी में आ सकते हो क्या?
It's your turn. Please come this way.,तुम्हारी बारी है। इस तरफ़ आओ।
Have you ever been to Africa?,आप कभी अफ़्रीका गए हुए हैं क्या?
What would the world do without tea?,दुनिया चाय के बिना क्या करेगी?
Did you sleep well?,तुम अच्छे से सोये क्या?
Where is the south terminal?,दक्षिण टर्मिनल कहाँ पर है?
There are more clouds today than yesterday.,आज बादल कल से ज़्यादा हैं।
His shoes were so old that his toes were sticking out of them.,उसके जूते इतने पुराने थे कि उनमें से उसकी ऊँगलियाँ निकल रहीं थीं।
The prisoner was released.,क़ैदी को रिहा कर दिया गया।
This silk feels smooth.,यह रेशम छूने में बहुत नर्म लगता है।
We shared the profit among us all.,हमने मुनाफ़े को अपने बीच बाँटा।
It's an easy victory.,यह जीत तो बहुत आसान थी।
What do you think she is doing now?,तुम्हारे हिसाब से वह अभी क्या कर रही होगी?
"During the war, we had to do without sugar.",जंग के समय में हमे चीनी के बिना ही काम चलाना पड़ा।
Do we have to get up early tomorrow morning?,क्या हमे कल सुबह जल्दी उठना है?
I feel cold. Do you mind closing the window?,मुझे ठंड लग रही है। खिड़की बंद कर सकते हो क्या?
Can the rumor be true?,क्या यह अफ़वाह सच हो सकती है?
I want to say thank you to Tom.,मैं टॉम को धन्यवाद कहना चाहती हूं।
It's cold.,ठंड हो रही है।
Your examination results are excellent.,तुम्हारे इगज़ैम के रिज़ल्ट बहुत अच्छे हैं।
She's a beauty from a distance.,वह दूर से हसीना लगती है।
"As a result of the war, many people died.",जंग की वजह से बहुत सारे लोग मर गए।
Only a few people listened to him.,उसकी बात कुछ ही लोगों ने सुनी।
I spent hours looking for the key that I had dropped.,मैं घंटों तक उस चाबी को ढूँढता रहा जिसे मैंने गिरा दिया था।
Go tell him yourself.,उसको अपने-आप जाकर बताओ।
It is necessary for you to see a doctor at once.,तुम्हें जल्द-से-जल्द डॉक्टर के पास जाने की ज़रूरत है।
She is dressed in white.,उसने सफ़ेद कपड़े पहने हुएँ हैं।
Didn't you go out?,तू बाहर नहीं गया था क्या?
I know his address.,मुझे उसका पता पता है।
She will give her picture to whoever wants it.,वह अपनी तस्वीर जो भी चाहे उसको दे देगी।
Don't start doing that.,वह काम शुरु मत करो।
Put it where you like.,जहाँ भी डालना है डालदो।
She helped me pack my suitcase.,उसने मुझे मेरी अटैची पैक करने में मदद करी।
My opinion is entirely different from yours.,मेरी सोच तुम्हारी सोच से बिलकुल अलग है।
Who's at the wheel?,गाड़ी कौन चला रहा है?
I ran away in a hurry.,मैं हड़बड़ी में दौड़ गया।
Tom's fever is getting worse.,टॉम का बुखार बढ़ता जा रहा है।
Do you believe in fairies?,तुम परियों में विश्वास करती हो क्या?
A good idea occurred to me last night.,मुझे कल सोते समय दिमाग़ में एक अच्छा आयडिया आया।
The box was so heavy I could not move it.,डब्बा इतना भारी था कि मैं उसे हिला नहीं सका।
"Having seen him before, I recognized him.","मैंने उसे पहले देखा हुआ था, इसलिए मैंने उसे पहचान लिया।"
I meant it as a joke.,मैंने तो मज़ाक समझकर बोला था।
She declined the invitation.,उसने आमंत्रण को स्वीकार नहीं किया।
Do you have rice?,तुम्हारे पास चावल है क्या?
The gate was left open.,गेट को खुला छोड़ दिया गया था।
The sheets feel damp.,चादरें गीलीं लगतीं हैं।
My family is small.,मेरा परिवार छोटा है।
You aren't supposed to play baseball here.,यहाँ बेसबॉल खेलना मना है।
She was crying in her room.,वह अपने कमरे में रो रही थी।
I'm disappointed with you.,मैं तुमसे निराश हूँ।
We have eaten there three times.,हम वहाँ तीन बार खा चुके हैं।
He cut the envelope open.,उसने लिफ़ाफ़े को काटकर खोल दिया।
Why don't you ever help?,तुम कभी भी मदद क्यों नहीं करते?
Who knows?,किसे पता है?
I will explain it to him.,मैं उसको यह बात समझाउँगा।
Tom is sweating now.,टॉम को अब पसीने आ रहे हैं ।
Is anyone absent today?,आज कोई है जो नहीं आया है?
It's starting now.,शुरू हो रहा है।
We're all going to die someday.,हम सब किसी दिन मरने वाले हैं।
There is no future in his job.,उसकी नौकरी का कोई भविष्य नहीं है।
I have just cleaned my room.,मैंने अपना कमरा अभी अभी साफ़ किया है।
The speed of the spread of AIDS is horrifyingly fast.,एड्स के फैलाव की तेज़ गति बहुत भयानक है।
I arrived later than usual.,मैं आमतौर के मुकाबले में देर से आया।
"Where do you live? ""I live in Tokyo.""","आप कहाँ रहते हैं? ""मैं टोक्यो में रहता हूँ"""
He could not come because of his illness.,वह बीमारी की वजह से नहीं आ सका।
"If you're watching this video, I'm dead.","अगर तुम यह वीडियो देख रहे हो, तो मैं मर चुका हूं।"
We are responsible for your protection from now on.,अबसे आपकी हिफ़ाज़त के लिए हम ज़िम्मेदार हैं।
How are you?,आप कैसे हो?
My father works for a power company.,मेरे पापा बिजली की कम्पनी में काम करते हैं।
It's your move.,तुम्हारी चाल है।
Some fish fly.,कुछ मछलियाँ उड़ सकतीं हैं।
It's like a dream come true.,मानो कोई सपना सच आ गया हो।
I am sorry if I disturbed you.,माफ़ कीजिएगा अगर मैंने आपको परेशान किया तो।
Please speak in a low voice.,कृपया धीमी आवाज़ में बात कीजिए।
We are all anxious about your health.,हम सब तुम्हारे स्वास्थ्य के लिए बहुत चिंतित हैं।
Few people know about the plan.,योजना के बारे में कुछ ही लोगों को पता है।
"I got up early, so that I could catch the first train.","मैं जल्दी उठा था, क्योंकि मुझे पहली ट्रेन पकड़नी थी।"
Bring your sister next time.,अगली बार अपनी बहन को भी साथ लाना।
She hated her husband.,वह अपने पति से नफ़रत करती थी।
Tom has never trusted me.,टॉम ने कभी मुझ पर भरोसा नहीं किया।
I ran into an old friend.,मेरी एक पुराने दोस्त से मुलाक़ात हुई।
The train is made up of fifteen cars.,रेलगाड़ी में १५ डब्बे हैं।
I beg to differ with you.,"माफ़ किजिए, पर मैं आपसे सहमत नहीं हूँ।"
I had two cups of coffee.,मैंने दो कप कॉफ़ी पी।
Our meeting was quite accidental.,हमारी मुलाकात ग़लती से हो गई।
I don't think that you're allowed to do that here.,मुझे नहीं लगता कि आपको यहाँ ऐसा करने की अनुमति है।
A crow is as black as coal.,कौआ कोयले जैसा काला होता है।
"At last, we got to the lake.",हम आखिरकार झील तक पहुँच गए।
Would you like to dance with me?,मेरे साथ नाचना चाहोगी क्या?
I met her in London for the first time.,मेरी उसके साथ पहली मुलाकात लंदन में हुई थी।
Tell whoever comes that I'm out.,अगर कोई आए तो उनसे कहना कि मैं बाहर गया हूँ।
Hello!,नमस्कार।
The men went hunting for lions.,वे आदमी शेरों का शिकार करने निकले।
Can you keep a secret?,तुम राज़ रख सकते हो क्या?
He looks like a horse.,वह दिखने में घोड़े की तरह लगता है।
"It isn't easy, but it's doable.",यह आसान नहीं है लेकिन करा जा सकता है।
The old farmer did not pay him much money.,वह बूढ़ा किसान उसको बहुत पैसे नहीं देता था।
I'd just like to ask Tom one question.,मैं टॉम से एक सवाल पूछना चाहूँगी।
"She wanted to have her hair cut, but her mother wouldn't let her.","वह अपने बाल कटवाना चाह्ती थी, पर उसकी मम्मी राज़ी नहीं थी।"
I can't make it this time.,मैं इस बार नहीं आ सकता।
It is necessary for you to go there immediately.,तुम्हारे लिए वहाँ तुरन्त जाना अनिवार्य है।
"Thank you very much, doctor.","डॉक्टर साहब, आपका बहुत बहुत धन्यवाद।"
What school do you go to?,तुम कौनसे स्कूल में पढ़ते हो?
It was clear that Tom was lying.,यह स्पष्ट था कि टॉम झूठ बोल रहा था।
To investigate the incident would take us at least three weeks.,हमको इस घटना की तहकीकात करने में कम-से-कम तीन हफ़्ते लगेंगे।
We all stood up at once.,हम सब एक-साथ खड़े हो गए।
He took advantage of my youth.,उसने मेरे जवान होने का फ़ायदा उठाया।
Last week five students were absent from class.,पिछले हफ़्ते क्लास से पाँच विद्यार्थी अनुपस्थित थे।
He waited his turn.,उसने अपनी बारी का इंतेज़ार किया।
You've never seen a genuine diamond.,तुमने असली हीरा कभी देखा ही नहीं है।
We've got that figured out.,हमने उसका हिसाब लगा लिया।
Where were you?,आप कहाँ थे?
Are you for or against this?,आप इसके हित में हैं या नहीं?
What are you going to do with this money?,तुम इन पैसों के साथ क्या करोगे?
Awesome!,बहुत बढ़िया!
They abandoned the sinking ship.,उन्होंने डूबते हुए जहाज़ को छोड़ दिया।
I will explain it to her.,मैं उसको यह बात समझाउँगा।
I'm thinking about you.,मैं तुम्हारे बारे में सोच रहा हूँ।
Leave your umbrella at the front door.,अपने छाते को सामने वाले द्वार छोड़ दो।
To what degree can we trust him?,हम उस पर कितना भरोसा कर सकते हैं?
She reminds me very much of her mother.,वह मुझे उसकी माँ की याद दिलाती है।
I was able to answer all the questions.,मैं सारे सवालों का जवाब दे पाया था।
How long did it take you to translate this book?,तुम्हें इस किताब का अनुवाद करने में कितना समय लगा?
Read as many books as possible.,जितनी किताबें पढ़ सकते हो पढ़ो।
These dogs are big.,ये कुत्ते बड़े हैं।
They are willing to learn English.,वे अंग्रेज़ी सीखने को तैयार हैं।
I felt like running away.,मेरा भाग जाने का मन हुआ।
My hobby is playing the guitar.,मेरा शौक गिटार बजाना है।
How do you like living on your own?,तुम्हें अकेले रहना अच्छा लगता है क्या?
I caught a glimpse of her.,मुझे उसकी झलक दिखाई दी।
"I don't know how, but Tom did it.",पता नहीं कैसे पर टॉम ने कर दिया।
You owe me an apology for that.,तुम्हें इस बात के लिए मुझसे माफ़ी माँगनी चाहिए।
I have seen her three times.,मैंने उसे तीन बार देखा है।
"This is a good newspaper, isn't it?",यह एक अच्छा अखबार है ना?
She has blue eyes.,उसकी नीली आँखें हैं।
Is Spanish spoken in Mexico?,मेक्सिको में स्पैनिश बोली जाती है क्या?
He must love you.,वह तुमसे प्यार करता होगा।
What time does it open?,कितने बजे खुलता है?
"I slept all day yesterday, because it was Sunday.","कल रविवार था, तो मैं पूरे दिन सोते रहा।"
He doesn't understand you.,वह तुम्हें समझता नहीं है।
I have lots of work to clear up by the weekend.,मुझे इस हफ़्ते बहुत सारा काम कर के खतम करना है।
Something must have happened to him on the way.,उसके साथ रास्ते पर कुछ हुआ होगा।
He couldn't sleep because of the noise outside his window.,उसकी खिड़की के बाहर इतना शोर हो रहा था कि वह सो नहीं पा रहा था।
We're in town.,हम शहर में हैं।
Thanks!,धन्यवाद!
He finished his dinner because he didn't like to waste food.,"उसे खाने की बर्बादी करना पसंद नहीं था, तो उसने अपना खाना खाकर खतम किया।"
Health is the most precious thing we have.,हमारा स्वास्थ्य हमारी सबसे कीमती संपत्ति होती है।
It's important for them to go out.,उनके लिए बाहर जाना बहुत ज़रूरी है।
France is in Western Europe.,फ़्रान्स पश्चिमी यूरोप में है।
It was easy for me to do so.,यह मेरे लिए करना बहुत आसान था।
Shouldn't we be doing something?,क्या हमें कुछ करना नहीं चाहिए?
Tom and I are friends.,टॉम और मैं दोस्त हैं।
The rumor turned out to be true.,वह अफ़वाह सच निकली।
His long speech bored us all.,उसका लम्बा भाषण सुनकर हम सब बोर हो गए।
I am much obliged to you for your help.,मैं आपकी मदद के लिए बहुत आभारी हूँ।
This box contains five apples.,इस डब्बे में पाँच सेव हैं।
How long has she been sick?,वह कितने दिनों से बीमार है?
I know things.,मुझे चीजों के बारे में पता है ।
She saved money for a rainy day.,उसने बुरे वक्त के लिए पैसे बचाए।
Don't make faces.,मूँह मत बनाओ।
He became a police officer.,वह पुलिस अफ़सर बन गया।
They're watching a movie.,वे फ़िल्म देख रहे हैं।
They are talking about music.,वे संगीत के बारे में बात कर रहे हैं।
We are all anxious about your health.,हम सब तुम्हारी सेहत के लिए बहुत परेशान हैं।
Opinions vary from person to person.,हर इनसान की राय अलग होती है।
He catches colds easily.,उसे ज़ुकाम बहुत आसानी से हो जाता है।
Do you have any soft drinks?,तुम्हारे पास कोक-शोक है क्या?
You make mistakes if you do things in a hurry.,जल्दबाज़ी में काम करोगे तो ग़लतियाँ तो होंगीं ही।
I hate taking risks.,मुझे जोखिम लेना पसंद नहीं है।
Help!,बचाओ!
I have never come across such a stubborn person.,इतने अड़ियल व्यक्ति से मेरी कभी भी मुलाकात नहीं हुई है।
That is almost correct.,यह लगभग सही है।
He plays baseball every day.,वह हर रोज़ बेसबॉल खेलता है।
"If I had wings, I would fly to you.",अगर मेरे पास पंख होते तो मैं उड़कर तुम्हारे पास चला आता।
My father told me not to read books in bed.,मेरे पिता ने मुझसे बिस्तर में किताबें पढ़ने से मना किया।
He died without having made a will.,वह वसीयत बनाए बिना ही मर गया।
They were scolded by the teacher.,उन्हें अपनी टीचर से डाँट पड़ी।
I'm standing in the shade.,मैं छाँओं में खड़ा हूँ।
She pulled my shirt.,उसने मेरी कमीज़ खींची।
I must buy one.,मुझे एक तो खरीदना ही होगा।
